Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1787168	0.717	0
2	243199373	1644157	0.676	0
3	198022430	1282948	0.648	0
4	191154276	1111036	0.581	-1
5	180915260	1167408	0.645	0
6	171115067	1186984	0.694	0
7	159138663	1140182	0.716	0
8	146364022	999604	0.683	0
9	141213431	906146	0.642	0
10	135534747	1072829	0.792	0
11	135006516	974963	0.722	0
12	133851895	971900	0.726	0
13	115169878	583275	0.506	-1
14	107349540	648868	0.604	0
15	102531392	655566	0.639	0
16	90354753	774570	0.857	0
17	81195210	778815	0.959	1
18	78077248	520133	0.666	0
19	59128983	663003	1.121	1
20	63025520	546316	0.867	1
21	48129895	417206	0.867	1
22	51304566	404086	0.788	0
Odchylenie standardowe dla osobnika: 0.13404
