Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1345956	0.54	0
2	243199373	1429131	0.588	0
3	198022430	1178186	0.595	0
4	191154276	1114086	0.583	0
5	180915260	1056259	0.584	0
6	171115067	1016569	0.594	0
7	159138663	910311	0.572	0
8	146364022	862325	0.589	0
9	141213431	670456	0.475	-1
10	135534747	789250	0.582	0
11	135006516	790015	0.585	0
12	133851895	791885	0.592	0
13	115169878	581002	0.504	0
14	107349540	533206	0.497	-1
15	102531392	480337	0.468	-1
16	90354753	476817	0.528	0
17	81195210	477822	0.588	0
18	78077248	453703	0.581	0
19	59128983	351216	0.594	0
20	63025520	379352	0.602	0
21	48129895	327087	0.68	1
22	51304566	212884	0.415	-1
Odchylenie standardowe dla osobnika: 0.05687
