Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	83619	0.034	0
2	243199373	73980	0.03	0
3	198022430	59801	0.03	0
4	191154276	51644	0.027	0
5	180915260	53004	0.029	0
6	171115067	53339	0.031	0
7	159138663	55264	0.035	0
8	146364022	43881	0.03	0
9	141213431	42653	0.03	0
10	135534747	48918	0.036	0
11	135006516	42377	0.031	0
12	133851895	47235	0.035	0
13	115169878	26104	0.023	-1
14	107349540	30585	0.028	0
15	102531392	31153	0.03	0
16	90354753	37153	0.041	0
17	81195210	39917	0.049	1
18	78077248	22163	0.028	0
19	59128983	36064	0.061	1
20	63025520	24086	0.038	0
21	48129895	12062	0.025	-1
22	51304566	18309	0.036	0
Odchylenie standardowe dla osobnika: 0.00817
