Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	683649	0.274	0
2	243199373	603636	0.248	0
3	198022430	479689	0.242	0
4	191154276	433528	0.227	0
5	180915260	432762	0.239	0
6	171115067	431730	0.252	0
7	159138663	456944	0.287	0
8	146364022	347530	0.237	0
9	141213431	349472	0.247	0
10	135534747	409003	0.302	0
11	135006516	345014	0.256	0
12	133851895	387347	0.289	0
13	115169878	208105	0.181	-1
14	107349540	249289	0.232	0
15	102531392	254074	0.248	0
16	90354753	308047	0.341	0
17	81195210	345345	0.425	1
18	78077248	180436	0.231	0
19	59128983	312194	0.528	1
20	63025520	190895	0.303	0
21	48129895	95710	0.199	-1
22	51304566	151003	0.294	0
Odchylenie standardowe dla osobnika: 0.07407
