Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1519972	0.61	0
2	243199373	1436042	0.59	0
3	198022430	1134314	0.573	0
4	191154276	988237	0.517	-1
5	180915260	1025526	0.567	0
6	171115067	1052052	0.615	0
7	159138663	984798	0.619	0
8	146364022	888519	0.607	0
9	141213431	784996	0.556	0
10	135534747	996986	0.736	1
11	135006516	847039	0.627	0
12	133851895	840900	0.628	0
13	115169878	514863	0.447	-1
14	107349540	556639	0.519	0
15	102531392	561629	0.548	0
16	90354753	664038	0.735	1
17	81195210	639101	0.787	1
18	78077248	460732	0.59	0
19	59128983	529564	0.896	1
20	63025520	472767	0.75	1
21	48129895	239561	0.498	-1
22	51304566	331784	0.647	0
Odchylenie standardowe dla osobnika: 0.10235
