Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1056080	0.424	0
2	243199373	1024042	0.421	0
3	198022430	821700	0.415	0
4	191154276	744439	0.389	0
5	180915260	740807	0.409	0
6	171115067	748564	0.437	0
7	159138663	702934	0.442	0
8	146364022	632532	0.432	0
9	141213431	548712	0.389	0
10	135534747	685040	0.505	1
11	135006516	587593	0.435	0
12	133851895	595134	0.445	0
13	115169878	379103	0.329	-1
14	107349540	392234	0.365	-1
15	102531392	381358	0.372	0
16	90354753	442343	0.49	1
17	81195210	416074	0.512	1
18	78077248	326497	0.418	0
19	59128983	340383	0.576	1
20	63025520	305870	0.485	0
21	48129895	166170	0.345	-1
22	51304566	200452	0.391	0
Odchylenie standardowe dla osobnika: 0.05701
