Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1808917	0.726	0
2	243199373	1866600	0.768	0
3	198022430	1515598	0.765	0
4	191154276	1402944	0.734	0
5	180915260	1358669	0.751	0
6	171115067	1312108	0.767	0
7	159138663	1206832	0.758	0
8	146364022	1128508	0.771	0
9	141213431	897560	0.636	-1
10	135534747	1065493	0.786	0
11	135006516	1061040	0.786	0
12	133851895	1051907	0.786	0
13	115169878	729157	0.633	-1
14	107349540	705983	0.658	-1
15	102531392	660507	0.644	-1
16	90354753	683956	0.757	0
17	81195210	692503	0.853	1
18	78077248	591164	0.757	0
19	59128983	545773	0.923	1
20	63025520	532719	0.845	1
21	48129895	301085	0.626	-1
22	51304566	320656	0.625	-1
Odchylenie standardowe dla osobnika: 0.07751
