Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	357959	0.144	0
2	243199373	328113	0.135	0
3	198022430	256581	0.13	0
4	191154276	222169	0.116	-1
5	180915260	233107	0.129	0
6	171115067	237170	0.139	0
7	159138663	228605	0.144	0
8	146364022	199673	0.136	0
9	141213431	181484	0.129	0
10	135534747	214615	0.158	0
11	135006516	194940	0.144	0
12	133851895	194026	0.145	0
13	115169878	116218	0.101	-1
14	107349540	130093	0.121	0
15	102531392	131497	0.128	0
16	90354753	155016	0.172	0
17	81195210	156426	0.193	1
18	78077248	104488	0.134	0
19	59128983	132219	0.224	1
20	63025520	108415	0.172	0
21	48129895	83651	0.174	1
22	51304566	81185	0.158	0
Odchylenie standardowe dla osobnika: 0.02684
Srednia arytmetyczna: 0.14664
