Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	2952187	1.184	0
2	243199373	2713746	1.116	0
3	198022430	2119668	1.07	0
4	191154276	1835777	0.96	-1
5	180915260	1927165	1.065	0
6	171115067	1959315	1.145	0
7	159138663	1883846	1.184	0
8	146364022	1651277	1.128	0
9	141213431	1497825	1.061	0
10	135534747	1772262	1.308	0
11	135006516	1609976	1.193	0
12	133851895	1603545	1.198	0
13	115169878	962361	0.836	-1
14	107349540	1071499	0.998	0
15	102531392	1083102	1.056	0
16	90354753	1279989	1.417	0
17	81195210	1286766	1.585	1
18	78077248	859843	1.101	0
19	59128983	1095142	1.852	1
20	63025520	902381	1.432	1
21	48129895	688790	1.431	0
22	51304566	668214	1.302	0
Odchylenie standardowe dla osobnika: 0.22148
