Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	134912	0.054	0
2	243199373	142319	0.059	0
3	198022430	117665	0.059	0
4	191154276	111395	0.058	0
5	180915260	105960	0.059	0
6	171115067	101252	0.059	0
7	159138663	91466	0.057	0
8	146364022	86364	0.059	0
9	141213431	66911	0.047	-1
10	135534747	79219	0.058	0
11	135006516	78789	0.058	0
12	133851895	79090	0.059	0
13	115169878	58032	0.05	-1
14	107349540	52984	0.049	-1
15	102531392	48159	0.047	-1
16	90354753	47503	0.053	0
17	81195210	47862	0.059	0
18	78077248	45518	0.058	0
19	59128983	34609	0.059	0
20	63025520	37909	0.06	0
21	48129895	32743	0.068	1
22	51304566	21229	0.041	-1
Odchylenie standardowe dla osobnika: 0.00578
