Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	19115853	7.669	0
2	243199373	20307122	8.35	0
3	198022430	16730192	8.449	0
4	191154276	15816628	8.274	0
5	180915260	15009506	8.296	0
6	171115067	14423371	8.429	0
7	159138663	12932939	8.127	0
8	146364022	12252743	8.371	0
9	141213431	9526213	6.746	-1
10	135534747	11225914	8.283	0
11	135006516	11235113	8.322	0
12	133851895	11262856	8.414	0
13	115169878	8238379	7.153	-1
14	107349540	7577821	7.059	-1
15	102531392	6823552	6.655	-1
16	90354753	6770566	7.493	0
17	81195210	6783686	8.355	0
18	78077248	6454230	8.266	0
19	59128983	4980390	8.423	0
20	63025520	5386719	8.547	0
21	48129895	4647862	9.657	1
22	51304566	3022905	5.892	-1
Odchylenie standardowe dla osobnika: 0.80814
Srednia arytmetyczna: 7.965
