Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	2059715	0.826	0
2	243199373	1947289	0.801	0
3	198022430	1554357	0.785	0
4	191154276	1358527	0.711	0
5	180915260	1403168	0.776	0
6	171115067	1437532	0.84	0
7	159138663	1349863	0.848	0
8	146364022	1209869	0.827	0
9	141213431	1072952	0.76	0
10	135534747	1320235	0.974	0
11	135006516	1142889	0.847	0
12	133851895	1159620	0.866	0
13	115169878	708241	0.615	-1
14	107349540	765800	0.713	0
15	102531392	761848	0.743	0
16	90354753	886231	0.981	1
17	81195210	862362	1.062	1
18	78077248	627061	0.803	0
19	59128983	718850	1.216	1
20	63025520	630606	1.001	1
21	48129895	322356	0.67	-1
22	51304566	435985	0.85	0
Odchylenie standardowe dla osobnika: 0.13378
Srednia arytmetyczna: 0.84159
