Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	25146	0.01	0
2	243199373	22574	0.009	0
3	198022430	17992	0.009	0
4	191154276	15403	0.008	0
5	180915260	16001	0.009	0
6	171115067	16045	0.009	0
7	159138663	16454	0.01	0
8	146364022	13197	0.009	0
9	141213431	12522	0.009	0
10	135534747	14307	0.011	0
11	135006516	12912	0.01	0
12	133851895	14321	0.011	0
13	115169878	7966	0.007	-1
14	107349540	9097	0.008	0
15	102531392	9265	0.009	0
16	90354753	10729	0.012	0
17	81195210	11903	0.015	1
18	78077248	7058	0.009	0
19	59128983	9867	0.017	1
20	63025520	7172	0.011	0
21	48129895	3566	0.007	-1
22	51304566	5205	0.01	0
Odchylenie standardowe dla osobnika: 0.00229
