Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	393552	0.158	0
2	243199373	358411	0.147	0
3	198022430	281979	0.142	0
4	191154276	240517	0.126	-1
5	180915260	255626	0.141	0
6	171115067	265014	0.155	0
7	159138663	250886	0.158	0
8	146364022	217939	0.149	0
9	141213431	202671	0.144	0
10	135534747	247595	0.183	0
11	135006516	213105	0.158	0
12	133851895	217657	0.163	0
13	115169878	126742	0.11	-1
14	107349540	143738	0.134	0
15	102531392	149705	0.146	0
16	90354753	177032	0.196	0
17	81195210	183148	0.226	1
18	78077248	113861	0.146	0
19	59128983	157604	0.267	1
20	63025520	124621	0.198	1
21	48129895	60529	0.126	-1
22	51304566	94097	0.183	0
Odchylenie standardowe dla osobnika: 0.03484
Srednia arytmetyczna: 0.16164
