Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	2188019	0.878	0
2	243199373	2270096	0.933	0
3	198022430	1825324	0.922	0
4	191154276	1688889	0.884	0
5	180915260	1642562	0.908	0
6	171115067	1588152	0.928	0
7	159138663	1468376	0.923	0
8	146364022	1370122	0.936	0
9	141213431	1096936	0.777	-1
10	135534747	1303435	0.962	0
11	135006516	1288699	0.955	0
12	133851895	1268916	0.948	0
13	115169878	891407	0.774	-1
14	107349540	858330	0.8	-1
15	102531392	781801	0.762	-1
16	90354753	849156	0.94	0
17	81195210	858793	1.058	1
18	78077248	725914	0.93	0
19	59128983	681629	1.153	1
20	63025520	664047	1.054	1
21	48129895	366862	0.762	-1
22	51304566	407135	0.794	-1
Odchylenie standardowe dla osobnika: 0.09959
