Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	630380	0.253	0
2	243199373	561664	0.231	0
3	198022430	447168	0.226	0
4	191154276	382355	0.2	-1
5	180915260	399898	0.221	0
6	171115067	408997	0.239	0
7	159138663	408780	0.257	0
8	146364022	335173	0.229	0
9	141213431	323306	0.229	0
10	135534747	373310	0.275	0
11	135006516	329062	0.244	0
12	133851895	354333	0.265	0
13	115169878	198305	0.172	-1
14	107349540	230030	0.214	0
15	102531392	238227	0.232	0
16	90354753	279863	0.31	0
17	81195210	304895	0.376	1
18	78077248	174465	0.223	0
19	59128983	270713	0.458	1
20	63025520	187729	0.298	0
21	48129895	92538	0.192	-1
22	51304566	146084	0.285	0
Odchylenie standardowe dla osobnika: 0.06054
Srednia arytmetyczna: 0.26537
